TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
4,3520,2012-2013,Mar,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Apr,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,May,Penrith City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2013-2014,Jul,Randwick City Council,Fail to comply with Food Standards Code - Corporation
4,3520,2013-2014,Aug,Inner West Council,Fail to comply with Food Standards Code - Corporation
3,2640,2013-2014,Sep,Cobar Shire Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Aug,Department of Primary Industries,Carry on food business/activity without a licence - Corporation
1,880,2013-2014,Mar,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2013-2014,Mar,Cessnock City Council,Fail to comply with Food Standards Code - Individual
11,9680,2014-2015,Jul,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Aug,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,1320,2014-2015,Dec,Northern Beaches Council,Fail to pay fee required by improvement notice - Corporation
7,3080,2014-2015,Feb,Liverpool City Council,Fail to comply with Food Standards Code - Individual
7,6160,2014-2015,Apr,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Aug,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Jul,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,1320,2014-2015,Jun,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
2,1760,2015-2016,Sep,Burwood Council,Fail to comply with Food Standards Code - Corporation
7,6160,2015-2016,Jan,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Feb,Inner West Council,Fail to comply with Food Standards Code - Corporation
3,2640,2015-2016,Mar,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,330,2015-2016,Mar,Blacktown City Council,Not appoint food safety supervisor for premises - Individual
1,440,2016-2017,Jul,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
